GASVISION_FILEVERSION;3;4.50
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
DECIMALSEPARATOR;.
DATESEPARATOR;/
SHORTDATEFORMAT;M/d/yyyy
TIMESEPARATOR;:
TIMEAMSTRING;AM
TIMEPMSTRING;PM
LONGTIMEFORMAT;h:mm:ss AMPM
SESSION_HEADER;Peak;30;7/15/2014 1:44:39 PM;7/15/2014 2:51:10 PM;X-am 7000;ARAA0098;1;PERSONAL-ID;2.02W
GASTYPE;;CH4;CO2;CO;NH3;SO2;
UNITNAME;;Vol%;Vol%;ppm;ppm;ppm;
VAL;7/16/2014 8:40:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:41:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:41:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:42:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:42:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:43:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:43:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:44:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:44:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:45:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:45:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:46:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:46:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:47:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:47:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:48:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:48:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:49:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:49:34 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:50:04 AM;0.000;0.029;0.000;0.000;0.000;
VAL;7/16/2014 8:50:34 AM;0.000;0.029;0.000;0.000;0.000;
