GASVISION_FILEVERSION;3;4.50
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
DECIMALSEPARATOR;.
DATESEPARATOR;/
SHORTDATEFORMAT;M/d/yyyy
TIMESEPARATOR;:
TIMEAMSTRING;AM
TIMEPMSTRING;PM
LONGTIMEFORMAT;h:mm:ss AMPM
SESSION_HEADER;Peak;1;8/16/2014 2:13:58 PM;8/16/2014 2:47:54 PM;X-am 7000;ARAA0092;1;PERSONAL-ID;2.02W;;1.00
GASTYPE;;Isobutene;ch4;NH3;NO;O2;
UNITNAME;;ppm;%LEL;ppm;ppm;Vol%;
VAL;8/16/2014 2:18:38 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:39 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:40 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:41 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:42 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:43 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:44 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:45 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:46 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:47 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:48 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:49 PM;NEG;0.000;NEG;0.000;21.10;
VAL;8/16/2014 2:18:50 PM;NEG;0.000;NEG;0.000;21.10;
