GASVISION_FILEVERSION;3;4.50
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
DECIMALSEPARATOR;.
DATESEPARATOR;/
SHORTDATEFORMAT;M/d/yyyy
TIMESEPARATOR;:
TIMEAMSTRING;AM
TIMEPMSTRING;PM
LONGTIMEFORMAT;h:mm:ss AMPM
SESSION_HEADER;Peak;1;8/20/2014 11:13:50 AM;8/20/2014 12:55:41 PM;X-am 7000;ARAA0092;1;PERSONAL-ID;2.02W;;1.00
GASTYPE;;Isobutene;ch4;NH3;NO;O2;
UNITNAME;;ppm;%LEL;ppm;ppm;Vol%;
VAL;8/20/2014 11:18:21 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:18:22 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:18:23 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:18:24 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:18:25 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:18:26 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:18:27 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:18:28 AM;NEG;0.000;NEG;0.000;20.90;
VAL;8/20/2014 11:18:29 AM;NEG;0.000;NEG;0.000;20.90;
VAL;8/20/2014 11:18:30 AM;NEG;0.000;NEG;0.000;20.90;
VAL;8/20/2014 11:18:31 AM;NEG;0.000;NEG;0.000;20.90;
VAL;8/20/2014 11:18:32 AM;NEG;0.000;NEG;0.000;20.90;
VAL;8/20/2014 11:18:33 AM;NEG;0.000;NEG;0.000;20.90;
VAL;8/20/2014 11:18:34 AM;NEG;0.000;NEG;0.000;20.90;
VAL;8/20/2014 11:18:35 AM;NEG;0.000;NEG;0.000;20.90;
VAL;8/20/2014 11:18:36 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:18:37 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:18:38 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:18:39 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:18:40 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:18:41 AM;NEG;0.000;0.000;0.000;20.90;
VAL;8/20/2014 11:18:42 AM;NEG;0.000;0.000;0.000;20.90;
