GASVISION_FILEVERSION;3;4.50
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
DECIMALSEPARATOR;.
DATESEPARATOR;/
SHORTDATEFORMAT;M/d/yyyy
TIMESEPARATOR;:
TIMEAMSTRING;AM
TIMEPMSTRING;PM
LONGTIMEFORMAT;h:mm:ss AMPM
SESSION_HEADER;Peak;1;8/12/2014 5:20:16 PM;8/12/2014 7:02:50 PM;X-am 7000;ARYD0215;1;DLD;2.02W
GASTYPE;;ch4;CO2;SO2;CO;NH3;
UNITNAME;;%LIE;Vol%;ppm;ppm;ppm;
VAL;8/12/2014 5:24:34 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:35 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:36 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:37 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:38 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:39 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:40 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:41 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:42 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:43 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:44 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:45 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:46 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:47 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:48 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:49 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:50 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:51 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:52 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:53 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:54 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:55 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:56 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:57 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:58 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:24:59 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:25:00 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:25:01 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:25:02 PM;0.000;0.059;0.000;0.000;0.000;
VAL;8/12/2014 5:25:03 PM;0.000;0.059;0.000;0.000;0.000;
