GASVISION_FILEVERSION;3;4.50
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
MEMO;;
DECIMALSEPARATOR;.
DATESEPARATOR;/
SHORTDATEFORMAT;M/d/yyyy
TIMESEPARATOR;:
TIMEAMSTRING;AM
TIMEPMSTRING;PM
LONGTIMEFORMAT;h:mm:ss AMPM
SESSION_HEADER;Peak;1;8/19/2014 12:20:29 PM;8/19/2014 2:01:04 PM;X-am 7000;ARAA0098;1;PERSONAL-ID;2.02W
GASTYPE;;CH4;CO2;CO;NH3;SO2;
UNITNAME;;Vol%;Vol%;ppm;ppm;ppm;
VAL;8/19/2014 12:24:59 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:25:00 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:25:01 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:25:02 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:25:03 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:25:04 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:25:05 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:25:06 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:25:07 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:25:08 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:25:09 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:25:10 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:25:11 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:25:12 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:25:13 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:25:14 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:25:15 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:25:16 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:25:17 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:25:18 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:25:19 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:25:20 PM;0.000;0.009;NEG;NEG;0.000;
VAL;8/19/2014 12:25:21 PM;0.000;0.009;NEG;NEG;0.000;
